Sta #,VA Facility Location,ZIP 3,PBN
595GC,"LANCASTER, PA",176,2
595GD,"READING, PA",196,2
595GE,"YORK, PA",174,2
596,"LEXINGTON LEESTOWN, KY",405,1
596A0,"LEXINGTON LEESTOWN, KY",405,1
596A4,"LEXINGTON COOPER DRIVE, KY",405,1
596GA,"SOMERSET, KY",425,3
596HA,"LEXINGTON MSORC, KY",405,2
598,"LITTLE ROCK, AR",722,1
598A0,"NORTH LITTLE ROCK, AR",721,1
598GA,"MOUNTAIN HOME, AR",726,3
598GB,"EL DORADO, AR",717,3
598GC,"HOT SPRINGS, AR",719,3
598GD,"MENA CBOC, AR",719,3
600,"LONG BEACH, CA",908,1
600GA,"ANAHEIM, CA",928,2
600GB,"SANTA ANA, CA",927,2
600GC,"LONG BEACH CBOC, CA",908,2
600GD,"SANTA FE SPRINGS, CA",906,2
603,"LOUISVILLE, KY",402,1
603GA,"FORT KNOX, KY",401,3
603GB,"NEW ALBANY, IN",471,3
603GC,"LOUISVILLE CBOC, KY",402,2
603GD,"DUPONT CBOC, KY",402,2
603GE,"STANDIFORD FIELD CBOC, KY",402,2
605,"LOMA LINDA, CA",923,1
605GA,"VICTORVILLE, CA",923,2
605GB,"SUN CITY, CA",923,2
605GC,"PALM DESERT, CA",922,3
605GD,"CORONA, CA",928,2
605GE,"UPLAND, CA",917,2
607,"MADISON, WI",537,1
607GC,"JANESVILLE, WI",535,3
607GD,"BARABOO, WI",539,2
607GE,"BEAVER DAM, WI",539,3
607GF,"FREEPORT CBOC, IL",610,3
607HA,"ROCKFORD, IL",611,3
608,"MANCHESTER, NH",031,1
608GA,"PORTSMOUTH, NH",038,2
608GC,"SOMERSWORTH, NH",038,2
608GD,"CONWAY, NH",038,3
608HA,"TILTON, NH",032,2
610,"MARION, IN",469,1
610A4,"FORT WAYNE, IN",468,1
610GA,"SOUTH BEND, IN",466,3
610GB,"MUNCIE, IN",473,3
612,"MARTINEZ, CA",945,1
612A4,"SACRAMENTO/MATHER AFB, CA",958,1
612B4,"REDDING, CA",960,3
612BY,"OAKLAND, CA",946,2
612CZ,"TRAVIS AFB, CA",945,2
612GD,"FAIRFIELD, CA",945,2
612GE,"MARE ISLAND, CA",945,2
612GF,"MARTINEZ CBOC, CA",945,2
612GG,"CHICO, CA",959,3
612GH,"MCCLELLAN AFB, CA",956,2
613,"MARTINSBURG, WV",254,1
613GA,"CUMBERLAND, MD",215,3
613GB,"HAGERSTOWN, MD",217,2
613GC,"STEPHENS CITY, VA",226,2
613GD,"FRANKLIN, WV",268,3
613GE,"PETERSBURG, WV",268,3
613GF,"HARRISONBURG, VA",228,3
614,"MEMPHIS, TN",381,1
614GA,"SMITHVILLE, MS",388,3
614GB,"JONESBORO, AR",724,3
614GC,"BYHALIA, MS",386,3
614GD,"SAVANNAH, TN",383,3
614GE,"COVINGTON, TN",381,2
618,"MINNEAPOLIS, MN",554,1
618BY,"TWIN PORTS, WI",548,3
618GA,"SOUTH CENTRAL, MN",560,3
618GB,"HIBBING, MN",557,3
618GD,"SAINT PAUL, MN",551,2
618GE,"CHIPPEWA VALLEY, WI",547,3
618GG,"ROCHESTER, MN",559,3
619,"MONTGOMERY, AL",361,1
619A4,"TUSKEGEE, AL",360,1
619GA,"COLUMBUS, GA",319,3
619GB,"DOTHAN, AL",363,3
620,"MONTROSE, NY",105,1
620A4,"CASTLE POINT, NY",125,1
620GA,"NEW CITY, NY",109,2
620GB,"CARMEL, NY",105,2
620GD,"WALLKILL, NY",125,2
620GE,"PORT JERVIS, NY",127,3
620GF,"HARRIS, NY",127,3
620GG,"POUGHKEEPSIE, NY",126,2
620GH,"EASTERN DUTCHESS, NY",125,3
621,"MOUNTAIN HOME, TN",376,1
621GA,"ROGERSVILLE, TN",378,3
621GB,"MOUNTAIN CITY, TN",376,3
621GC,"NORTON, VA",242,3
621GD,"SAINT CHARLES, VA",242,3
623,"MUSKOGEE, OK",744,1
623BY,"TULSA, OK",741,3
623GA,"MCALESTER, OK",745,3
626,"NASHVILLE, TN",372,1
626A4,"MURFREESBORO, TN",371,1
626BY,"KNOXVILLE, TN",379,3
626GA,"DOVER, TN",370,3
626GC,"BOWLING GREEN, KY",421,3
626GD,"FT. CAMPBELL CBOC, KY",422,3
626GE,"CLARKSVILLE, TN",370,3
626GF,"CHATTANOOGA, TN",374,3
626GG,"TULLAHOMA/ARNOLD AFB, TN",373,3
626GH,"COOKEVILLE, TN",385,3
626GI,"VINE HILL, TN",372,2
629,"NEW ORLEANS, LA",701,1
629BY,"BATON ROUGE, LA",708,3
629GA,"HOUMA CBOC, LA",703,3
629GB,"HAMMOND CBOC, LA",704,3
